儀式|ceremony, rite, ritual, service
寄越す|to send, to forward
生える|to grow, to spring up, to sprout
妨げる|to disturb, to prevent, to obstruct, to hinder
躊躇う|to hesitate, to waver
点く|to be lit (of a lamp, burner, etc.), to catch fire, to ignite, to start burning
纏める|to collect, to put (it all) together, to integrate, to consolidate, to unify
怠る|to neglect, to be negligent in, to be neglectful of, to fail to do, to leave undone, to avoid (doing), to shirk, to be unmindful of
儲ける|to profit, to get, to earn, to gain
目立つ|to be conspicuous, to stand out
拭く|to wipe, to dry
繋がる|to be tied together, to be connected to, to be linked to
蹴る|to kick
流行る|to be popular, to come into fashion
羨ましい|envious, jealous
騒がしい|noisy, boisterous
有難い|grateful, thankful, welcome, appreciated, evoking gratitude
助かる|to be saved, to be rescued, to survive
銘々|each, individual
潰す|to smash, to crush, to flatten
溶ける|to melt, to thaw, to fuse
憎む|to hate, to detest
大して|(not so) much, (not) very
惨め|miserable, wretched, unhappy, sad, pitiable
存じる|to know, to be aware (of), to be acquainted (with)
味わう|to taste, to savor, to savour, to relish
幾分|somewhat, to some extent, to some degree
温める|to warm (up), to heat (up)
殖やす|to increase, to add to, to augment
大層|very, extremely, exceedingly, greatly, terribly
絶えず|constantly, always, continually, steadily
一休み|(short) rest, breather, break
遡る|to go upstream, to go up (a river)
是非とも|by all means, at all costs, absolutely
足る|to be sufficient, to be enough
泊める|to give shelter to, to lodge, to put up, to accommodate
怪しい|suspicious, dubious, questionable, dodgy, shady, fishy
溜まる|to collect, to gather, to save, to accumulate, to pile up
折角|with trouble, at great pains
独りでに|by itself, automatically, naturally
平気|cool, calm, composed, unconcerned, nonchalant, unmoved, indifferent
物凄い|terrific, staggering, tremendous, incredible, extreme
塞ぐ|to stop up, to close up, to block (up), to plug up, to shut up, to cover (ears, eyes, etc.), to close (eyes, mouth)
仲直り|reconciliation, making up (with), making peace (with), being friends again, patching up a quarrel
掻く|to scratch
混ぜる|to mix, to stir, to blend
喧しい|noisy, loud, clamorous, boisterous
偉い|great, excellent, admirable, commendable, laudable, honorable, wonderful, outstanding, extraordinary
大人しい|gentle, quiet, mild, meek, obedient, docile, well-behaved, tame
空っぽ|empty, vacant, hollow
塞がる|to be closed, to be blocked, to be healed (e.g. wound), to be shut up
引っ掛かる|to be caught in, to be stuck in
比較的|comparatively, relatively
憧れる|to long for, to yearn for, to hanker after, to be attracted by, to be drawn to, to aspire to, to admire, to adore
遠足|school trip, field trip, excursion, outing
見下ろす|to overlook, to command a view of, to look down on
醜い|ugly, unattractive, bad-looking
兎も角|anyhow, anyway, somehow or other, generally speaking, in any case, be that as it may
詫びる|to apologize, to apologise, to make an apology
巻く|to wind, to coil, to roll, to wear (e.g. turban, scarf)
燃やす|to burn
剃る|to shave
照らす|to shine on, to illuminate
忽ち|in an instant, in a moment, immediately, right away, at once
申し訳ない|"I'm sorry, (it's) inexcusable, I feel regretful, I feel guilty"
覗く|to peek (through a keyhole, gap, etc.)
尻尾|tail (of an animal)
崩す|to destroy, to demolish, to pull down, to tear down, to level
裏返す|to turn inside out, to turn the other way, to turn (something) over
怒鳴る|to shout (in anger), to yell
囁く|to whisper, to murmur
厚かましい|impudent, shameless, brazen, cheeky, presumptuous
鈍い|dull (e.g. a knife), blunt
思いがけない|unexpected, contrary to expectations, by chance, casual
突っ込む|to thrust (something) into (something), to cram, to stuff, to shove
撒く|to scatter, to sprinkle, to strew
揃える|to collect, to gather, to get together, to complete (a collection)
冷める|to cool down, to get cold
組み立てる|to assemble, to put together, to set up, to construct, to build, to compose (a story, poem, etc.)
可愛がる|"to be affectionate to, to treat tenderly, to dote on, to show one's love (for), to cherish"
縫う|to sew, to stitch
恋しい|yearned for, longed for, missed
敷く|to spread out, to lay out
独り言|soliloquy, monologue, speaking to oneself
近づける|to bring near, to bring close, to let go near
編む|to knit, to plait, to braid
意地悪|malicious, ill-tempered, unkind, mean, nasty
嗅ぐ|to sniff, to smell
傾く|to incline toward, to slant, to lurch, to heel over, to be disposed to, to trend toward, to be prone to
甘やかす|to pamper, to spoil
擦る|to rub, to scrub, to scrape
真っ青|deep blue, bright blue
済まない|inexcusable, unjustifiable, unpardonable
水平線|horizon (related to bodies of water)
補う|to supplement, to make up for, to compensate for, to cover (a shortage, loss, etc.), to fill (e.g. a vacancy)
曲げる|to bend, to crook, to bow, to curve, to curl
映る|to be reflected, to harmonize with (harmonise), to come out (photo), to be projected, to be displayed (on a screen)
爽やか|fresh, refreshing, invigorating, pleasant, delightful
図々しい|impudent, shameless, brazen, forward, audacious, cheeky
砕ける|to break (into pieces), to be broken, to be smashed
散らかる|to be in disorder, to lie scattered around
含める|to include (in a group or scope)
捕る|to catch (a wild animal, fish, insect, baseball, etc.), to capture
慰める|to comfort, to console, to amuse
至急|urgent, pressing, immediate, prompt, express
生意気|impertinent, saucy, cheeky, impudent, audacious, cocky, pert, brash
固まる|to harden, to solidify
早速|at once, immediately, without delay, promptly
目覚まし|alarm clock
這う|to crawl, to creep, to go on all fours
敬う|to show respect for, to revere, to honour, to honor, to worship, to hold in esteem
必需品|necessities, necessary article, requisite, essentials
改めて|another time, again, over again, once again, anew
返る|to return, to come back, to go back
浮く|to float
承る|to hear, to be told, to know
蒸し暑い|humid, sultry
引き返す|"to turn back, to go back, to come back, to return, to retrace one's steps"
仮定|assumption, supposition, hypothesis
言い出す|to begin to say, to start talking, to broach (a matter), to bring up, to come out with
欠伸|yawn, yawning
出来上がる|to be completed, to be finished, to be ready (e.g. to serve or eat)
何分|some, any, (a) little, of some kind, of some sort
行き成り|abruptly, suddenly, all of a sudden, without warning
各地|every place, various places
下らない|trivial, trifling, insignificant, not worth bothering with, worthless, useless, good-for-nothing
妥当|valid, proper, right, appropriate, reasonable
近寄る|to approach, to draw near
目茶苦茶|absurd, unreasonable, nonsensical, preposterous, incoherent
青白い|pale, pallid
お早う|good morning
転がる|to roll, to tumble
背負う|"to carry on one's back"
険しい|precipitous, rugged, inaccessible, impregnable, steep
逃がす|to set free, to let go, to release
湿る|to become damp, to become moist, to become wet
澄む|to become clear (water, air, etc.), to become transparent
暢気|easy, easygoing, carefree, happy-go-lucky, optimistic, leisurely, careless, thoughtless
但し|but, however, provided that
跳ねる|to jump, to leap, to prance, to spring up, to bound, to hop
お代わり|another helping, second helping, seconds, refill
災難|calamity, misfortune, disaster
宛名|"name and address (on an envelope, etc.), (addressee's) name, addressee"
姪|niece
儲かる|to be profitable, to yield a profit
裂く|to tear, to rip up
痒い|itchy
睨む|to glare at, to scowl at, to glower at
重なる|to be piled up, to lie on top of one another
先ほど|a short while ago, a moment ago, just now, some time ago
照る|to shine
畳む|to fold (clothes, umbrella)
教わる|to be taught, to learn, to take lessons in
甦る|to be resurrected, to be resuscitated, to be rehabilitated, to be revived, to be refreshed, to be restored
薬缶|kettle
通用|(common) use (of a language, currency, etc.), current use, circulation, currency, validity (e.g. of a ticket)
打ち合わせ|(preparatory) meeting, briefing session, (making) advance arrangements
いつの間にか|before one knows, before one becomes aware of, unnoticed, unawares
ご無沙汰|not writing or contacting for a while, neglecting (failing) to write (call, visit, etc.), long silence
何となく|somehow or other, for some reason or another, without knowing why
耕す|to till, to plow, to plough, to cultivate
腰掛ける|to sit (down)
思い込む|to be convinced (that), to be under the impression (that), to feel sure (that), to assume (that)
平凡|ordinary, common, commonplace, mediocre, unremarkable, undistinguished, uneventful
羊毛|wool
溜める|to amass, to accumulate, to store
乾かす|to dry (clothes, etc.), to desiccate
目眩|dizziness, giddiness, vertigo
威張る|"to put on airs, to act big, to throw one's weight about, to be overbearing, to be domineering, to be bossy, to be pushy, to be proud, to be haughty, to be arrogant, to swagger, to boast, to brag"
謎々|riddle, puzzle, enigma
お休み|holiday, day off, absence
溶け込む|to melt into, to dissolve into, to merge into
脱線|derailment
担ぐ|"to shoulder, to carry on one's shoulder"
下品|vulgar, indecent, coarse, crude
速達|express, special delivery
騒々しい|noisy, loud, boisterous, clamorous, raucous
引き止める|to detain, to check, to restrain, to stop
出鱈目|nonsense, irresponsible remark, codswallop, hogwash, rubbish
掃く|to sweep, to brush, to clean
更ける|to get late, to advance, to wear on
尖る|to taper to a point, to become pointed, to become sharp
熱する|to heat, to heat up
目上|superior, superiors, senior
若しかしたら|perhaps, maybe, perchance, by some chance, by any chance
愈々|more and more, all the more, increasingly
ため息|sigh
信ずる|to believe, to believe in, to place trust in, to confide in, to have faith in
真似る|to mimic, to imitate
塩辛い|salty (taste), briny
引力|attraction (e.g. magnetic, gravitation), affinity, gravitational pull
纏まる|to find resolution, to be settled, to be agreed on, to be completed
探る|to feel around for, to fumble for, to grope for, to search for, to look for
短所|defect, demerit, weak point, disadvantage
散らかす|to scatter around, to leave untidy, to make a mess
御洒落|"stylish, fashionable, trendy, chic, smartly dressed, careful about one's appearance"
広める|to spread, to propagate, to popularize, to disseminate
溶かす|to dissolve
重たい|heavy, weighty
護謨|gum, rubber
巫山戯る|to joke, to jest, to kid, to josh
戸棚|cupboard, locker, closet, wardrobe, cabinet
整う|to be ready, to be prepared, to be arranged
交ざる|to be mixed, to be blended with, to associate with, to mingle with, to join
因る|to be due to, to be caused by
濡らす|to wet, to moisten, to dampen, to soak, to dip
煮える|to be boiled, to be cooked
糊|paste, glue
凍える|"to freeze (of one's body), to be frozen, to become numb (with cold), to be chilled"
針金|wire
被せる|to cover (with something)
取り入れる|to harvest, to reap
湧く|to well (up), to gush out (of water), to spring out, to surge
売り切れる|to be sold out
錆びる|to rust, to become rusty
始終|continuously, from beginning to end, from first to last
茂る|to grow thickly, to be in full leaf, to be rampant, to luxuriate, to be luxurious
交じる|to be mixed, to be blended with, to be combined
縮む|to shrink, to contract, to diminish (in size)
末っ子|youngest child
当てはめる|to apply, to adapt
見っともない|shameful, disgraceful, unsightly, indecent, unseemly, unbecoming, improper
汲む|to draw (water), to ladle, to dip up, to scoop up, to pump
偶数|even number
酔っ払い|drunkard
売り切れ|sold-out
お手伝いさん|maid
凸凹|unevenness, roughness, ruggedness, bumpiness
荒い|rough, wild, violent, rude, coarse, harsh, fierce, heavy (e.g. breathing)
交差|crossing, intersection
毛糸|knitting wool, woolen yarn, woollen yarn
吊るす|to hang, to hang up
治める|to rule, to govern, to reign over, to administer, to manage (e.g. a household)
夕立|(sudden, heavy) shower (on a summer afternoon or evening), evening shower
大ざっぱ|rough (estimate, summary, etc.), broad, general, sweeping, loose
散る|to fall (e.g. blossoms, leaves)
片付く|to be put in order, to be put to rights
突き当たる|to run into, to collide with, to crash into, to bump against
拵える|to make, to manufacture
瞼|eyelid
眩しい|dazzling, radiant
帰す|to send (someone) back, to send (someone) home
着々|steadily
毎度|each time, always, often
剥がす|to tear off, to peel off, to rip off, to strip off, to skin, to flay, to disrobe, to deprive of, to detach, to disconnect
所々|here and there, in places
貸間|room to let, room for rent
引っ込む|to draw back, to sink, to cave in
流石|"as one would expect, just as you'd expect (from), just like (someone)"
特売|special sale, bargain sale
濁る|to become muddy, to become cloudy, to become turbid, to become impure (of a liquid or gas)
萎む|to wither (of flowers, dreams, etc.), to wilt, to droop, to shrivel, to fade (away), to sag, to deflate
待ち合わせる|to rendezvous, to meet at a prearranged place and time, to arrange to meet
追い越す|to pass (e.g. car), to overtake
鉄橋|railway bridge, iron bridge
採る|to adopt (a method, proposal, etc.), to take (a measure, course of action, etc.), to decide on
目出度い|happy, auspicious, propitious, joyous
諄い|repetitious, long-winded, tedious, wordy, verbose, insistent, importunate
月日|"time, years, days, (one's) life"
等分|division into equal parts, equal parts
日の入り|sunset
催促|pressing, urging, demanding, demand
散らす|to scatter, to cause a shower of
命ずる|to order, to command
面倒くさい|bothersome, tiresome, bother to do
悔しい|frustrated (over a failure, humiliation or injustice), annoyed, chagrined, (bitterly) disappointed, bitter, vexed, frustrating, annoying, regrettable
不潔|unclean, dirty, unsanitary, filthy
転がす|to roll, to wheel, to trundle, to drive (a car)
道順|route, way, course, directions
熟語|kanji compound
お八つ|between-meal snack
好き好き|matter of taste
真っ黒|pitch black
お帰り|return
長引く|to be prolonged, to drag on, to take a long time, to persist, to linger
衣食住|food, clothing and shelter, necessities of life
方角|direction, way
謙遜|modesty, humility, being humble
幼稚|infancy
ちり紙|tissue paper, toilet paper
欲張り|greed, avarice, covetousness, greedy person
跨ぐ|to step over, to step across, to stride over, to stride across, to cross
撫でる|to stroke, to caress, to brush gently, to pat, to rub
偏る|to lean (to one side), to incline
払い戻す|to repay, to pay back, to refund, to reimburse
組み合わせ|combination, assortment, set
着替え|changing clothes, change of clothes
人造|artificial, man-made, imitation, synthetic
下書き|draft, rough copy
祭日|national holiday, festival day
客間|drawing room, parlor, parlour, guest room
四角|quadrilateral, square
著す|to write, to publish
便箋|writing paper, stationery, notepaper
定休日|regular holiday, fixed day off, regular closing day
伝染|contagion, infection
休講|cancellation (of a lecture, class, etc.)
勘違い|misunderstanding, mistaken idea, wrong guess
慌ただしい|busy, hectic, hurried, rushed
瓶詰め|bottling
感ずる|to feel, to sense
祭る|to deify, to enshrine
払い込む|to deposit, to pay in
勇ましい|brave, valiant, gallant, courageous
射す|to shine
略す|to abbreviate, to omit
引き算|subtraction
物騒|dangerous, unsettled, troubled, disturbed, insecure
腰掛け|seat, bench
朗らか|cheerful, merry, sunny, melodious
四捨五入|rounding (off; a number), rounding half away from zero
扇ぐ|to fan
若しかすると|perhaps, possibly, maybe, by some chance
注す|to pour, to add (liquid), to serve (drinks)
繋がり|connection, link, relationship
生ずる|to produce, to yield, to cause
映す|to project, to reflect, to cast (shadow)
桁|column, beam, girder, crossbeam, spar, yard
載る|to be placed on, to be set on, to be piled on, to be loaded on
畏まりました|certainly!
ご苦労さま|thank you (for your hard work), I appreciate your efforts
湯のみ|teacup
送別|farewell, send-off
小便|urine, piss, pee, urination
損得|loss and gain, advantage and disadvantage
卸す|to sell wholesale
憎らしい|odious, hateful, detestable, horrible
倣う|to imitate, to follow, to copy, to emulate
中性|neutrality (incl. chemical, electrical, etc.), indifference
湯気|steam, vapour, vapor
坊ちゃん|"(another's) son, boy, young master"
炊事|cooking, kitchen work
卑怯|cowardly, craven
一まず|for now, for the time being, for the present
拝む|"to assume the posture of praying, to press the palms and fingers of both hands together, to do reverence (e.g. before a statue of the Buddha), to pay one's respects"
番地|house number, address
占う|"to tell someone's fortune, to divine (the future)"
区切る|to divide, to separate, to partition, to demarcate, to delimit, to mark off
刷る|to print
雑巾|house-cloth, dust cloth
四角い|square, rectangular
俄|sudden, abrupt, unexpected, improvised, hasty, offhand
回数券|coupon tickets, discount tickets, book of tickets
渇く|to be thirsty, to feel thirsty
揉む|to rub, to crumple
饂飩|udon, thick Japanese wheat noodles
縮れる|to be wavy, to be curled, to be frizzled
悠々|quiet, calm, leisurely, composed
純情|pure heart, naivete, innocence
匙|spoon
入れ物|container, case, receptacle
書き取り|writing down from other written material, writing kanji text from hiragana
掛け算|multiplication
差し支え|hindrance, impediment
匂う|to be fragrant, to smell (good)
甚だしい|extreme, excessive, terrible, intense, severe, serious, tremendous, heavy (damage)
図表|chart, diagram, graph, figure
雨戸|sliding storm shutter
水滴|drop of water
頼もしい|reliable, dependable, trustworthy, reassuring
無地|plain, unfigured, patternless, solid (color)
馬鹿らしい|absurd, foolish, stupid, silly, nonsense, ludicrous, preposterous, laughable, ridiculous
紙屑|wastepaper, scrap of paper, paper scraps
お願いします|please
御覧|(please) try to
見かけ|outward appearance
女の人|woman
沁み沁み|keenly, deeply, fully, heartily, seriously, earnestly
引っ繰り返る|to be overturned, to be reversed, to turn over, to capsize
お出掛け|about to start out, just about to leave or go out
やむを得ない|cannot be helped, unavoidable
お先に|before, previously
従姉妹|cousin (female)
田んぼ|paddy field, farm
広々|extensive, spacious
行ってらっしゃい|have a good day, take care, see you
じゃん拳|rock-paper-scissors (game), janken
憎い|hateful, detestable, abominable, vexing, provoking
話し中|busy (phone)
悔やむ|to mourn, to lament
仕上がる|to be finished, to be completed, to be done
坊や|boy, son, child
請う|to beg, to ask, to request, to invite
特長|strong point, forte, merit, strength
焦がす|to burn, to scorch, to singe, to char
挟まる|to get between, to be caught in
飽くまで|to the end, to the bitter end, to the last, stubbornly, persistently, consistently, to the utmost
逆様|inverted, upside down, reversed, back to front, wrong way round
言いつける|to tell (to do), to order, to charge, to direct
通り掛かる|to happen to pass by
バランス|balance
ウール|wool
ダム|dam
鋸|saw
パターン|pattern
赤道|equator
爪|nail (e.g. fingernail, toenail), claw, talon, hoof
平野|plain, open field
小指|little finger, pinky
下線|underline, underscore
墨|sumi, India ink, Chinese ink, ink stick, ink-cake
琴|koto (13-stringed Japanese zither)
その他|the rest, the others
お辞儀|bow, bowing
バケツ|bucket, pail
ブラウス|blouse
モデル|model, dummy, mock-up
ハンドル|handle
ピンク|pink
蓋|cover, lid, cap
ステージ|stage (platform)
ダイヤモンド|diamond
リボン|ribbon
ネックレス|necklace
ヘリコプター|helicopter
マンション|condominium (usu. mid or high-rise), apartment building, apartment house, block of flats, apartment, flat
センチ|centimeter, centimetre
ブラシ|brush
プラットホーム|platform
プログラム|program (of events, music, etc.), programme
アクセント|accent (on a syllable, word), stress, pitch accent
ジャーナリスト|journalist
オーケストラ|orchestra
スタート|start, beginning
カバー|cover, covering, dust jacket, wrapper
チョーク|chalk
ボーナス|bonus
コンクリート|concrete
サラリーマン|office worker, company employee, company man, salaryman
セメント|cement
テーマ|theme, topic, subject matter, motif, project, slogan
ダイヤル|dial (e.g. telephone, radio, clock, gauge)
インタビュー|interview (on television, in a newspaper, etc.)
ビタミン|vitamin
ポスター|poster
シーツ|sheet, bed sheet
カロリー|calorie
リズム|rhythm
サイレン|siren
ロッカー|locker
ナイロン|nylon
キャンパス|campus
フライパン|fry pan, frying pan
コンクール|competition, contest
ファスナー|zip fastener, zipper, zip
オルガン|organ (musical instrument)
テンポ|tempo
マスク|(face) mask
スライド|slide (for projection), transparency
ミシン|sewing machine
レジャー|leisure
レンズ|lens
リットル|litre, liter
アンテナ|antenna
スピーカー|speaker
ストップ|stop
歌留多|karuta, traditional Japanese playing cards, esp. hyakunin isshu karuta or iroha karuta
ミリ|milli-, 10^-3
スマート|smart (clothing, etc.), stylish
シリーズ|series
扇子|folding fan
サンプル|sample, example, specimen
バンド|band
ギャング|gang
ストッキング|stockings
コレクション|collection (of art, stamps, etc.), collecting
イコール|equal, equivalent
コーラス|chorus
エプロン|apron
コース|course, route, trail
サークル|group with a common interest (e.g. students), club (e.g. company sports club), circle
大凡|about, roughly, approximately
目下|subordinate, subordinates, inferior, inferiors, junior
並行|going side-by-side, going abreast
脅かす|to threaten, to menace, to intimidate
紅葉|leaves turning red (in autumn), red leaves, autumn colours, fall colors
羨む|to envy, to be envious of, to be jealous of
大木|large tree
齧る|to gnaw, to nibble, to bite, to munch, to crunch
ひっくり返す|to turn over, to turn upside down, to turn up, to turn inside out, to turn out
日日|date (of a planned event, act, etc.), day
白髪|white hair, grey hair, gray hair
すれ違う|to pass (by) each other, to brush past
父母|father and mother, parents
複数|plural, multiple
放る|to throw, to fling, to hurl, to toss
炙る|"to warm (e.g. one's hands over a fire), to dry"
万歳|banzai, hurray, hurrah, hooray
お目出度い|(matter) for congratulations, worthy of celebration, happy (occasion, ending, etc.), joyous, auspicious
関東|Kantō, region consisting of Tokyo and surrounding prefectures
破く|to tear, to rip
傾らか|gently sloping, gentle, gradual, easy
順々|in order, in turn
茶色い|light brown, tawny
通ずる|to be open (to traffic), to lead to, to communicate (with)
挿す|to insert, to put in
通帳|passbook, bankbook
繋げる|to connect
此間|the other day, lately, recently
点々|here and there, little by little, sporadically, scattered in drops
造船|shipbuilding
見出し|heading, headline, title, caption
団地|multi-unit apartments, apartment complex
調味料|seasoning, flavoring, flavouring, condiment
文芸|literature
濃度|concentration, density
換気|ventilation
防犯|prevention of crime
民謡|folk song, popular song
私鉄|private railway
領事|consul
列島|archipelago, chain of islands
床の間|tokonoma (alcove where art or flowers are displayed)
消毒|disinfection, sterilization, sterilisation
半径|radius
気を付ける|to be careful, to pay attention, to take care
揶揄う|"to tease, to make fun of, to poke fun at, to make a crack about, to chaff, to kid, to joke, to banter, to pull someone's leg"
アイデア|idea
左様なら|farewell, adieu, goodbye, so long
点ける|to turn on, to switch on, to light up
打つかる|to bump into, to run into, to collide with, to hit, to strike
打付ける|"to hit (e.g. one's head), to strike, to knock, to run (into), to crash (into)"
そっと|softly, gently, quietly, lightly
火傷|burn, scald
スケジュール|schedule, program, calendar
うっかり|carelessly, thoughtlessly, inadvertently
ドキドキ|thump-thump, bang-bang, pit-a-pat, pitapat, pitter-patter
彼此|this and that, this or that, one thing or another, this way and that
くっ付く|to adhere to, to stick to, to cling to
プラスチック|plastic
ぶつぶつ|grunt, grumble, complaint, mutter
こっそり|stealthily, secretly, in secret
汚す|to pollute, to contaminate, to soil, to make dirty, to stain
痺れる|to become numb, to go to sleep (e.g. a limb)
メニュー|menu
どうせ|anyhow, in any case, at any rate, after all, at all, no matter what
ニコニコ|with a friendly grin, smilingly
呆れる|to be amazed, to be shocked, to be astonished, to be astounded, to be disgusted, to be exasperated, to be fed up
レベル|level, standard, amount, degree, grade, rank, class
退く|to step aside, to move (i.e. out of the way), to make way
まあまあ|so-so, passable, not (so) bad, reasonable
ピストル|pistol
クリーニング|cleaning, dry cleaning, laundry service
すっきり|"refreshingly, with a feeling of relief, pleasantly, (a weight) off one's shoulder"
ランチ|lunch
コック|cook, chef
ラッシュアワー|rush hour
シーズン|season (period in which regulated games are played)
スチュワーデス|stewardess, (female) flight attendant
疾っくに|long ago, a long time ago, already
凭れる|to lean against, to lean on, to recline on
クーラー|air conditioner
モーター|motor
ロビー|lobby, lounge
嚏|sneeze
メーター|meter, gauge
破れる|to get torn, to tear, to rip, to break, to wear out
潰れる|to be crushed, to be squashed, to be smashed, to be destroyed, to be broken, to collapse
日当たり|exposure to the sun, sunny place
マイナス|minus, subtraction, taking away
ダブル|double
船便|surface mail (ship), sea mail
ぴかぴか|with a glitter, with a sparkle
滑らす|to shift, to move, to slide
トレーニング|training (for a skill, job, sport, etc.), practice
パンツ|underpants, pants, briefs, panties, shorts, knickers
シャッター|(camera) shutter
秤|scales, weighing machine
ベテラン|veteran (in a particular field), person with a lot of experience, old hand
草臥れる|to get tired, to become exhausted, to grow weary
捻る|to twist, to wrench, to turn (a tap, switch, etc.)
狡い|sly, cunning, sneaky, crafty, unfair, dishonest
ビニール|vinyl, plastic
マフラー|(thick) scarf, muffler
プリント|print, printing, (printed) copy
お陰様で|"thankfully, fortunately, luckily, by God's grace, under the gods' shadow"
モダン|modern
くっ付ける|to attach, to stick together, to paste, to glue
レクリエーション|recreation
ぎっしり|tightly (packed), densely, closely, crammed
オートメーション|automation
カセット|cassette (tape)
のろのろ|slowly, sluggishly
フワフワ|lightly (floating, drifting, etc.), buoyantly
そそっかしい|careless, thoughtless, hasty, rash
うろうろ|restlessly, aimlessly, without purpose
めっきり|remarkably, noticeably, considerably, appreciably
ワンピース|dress
冷ます|to cool (e.g. from a high temperature to room temperature), to let cool
エチケット|politeness, good manners, courtesy, etiquette
洒落|joke, pun, jest, witticism, wordplay
ランニング|running
初めに|first, firstly, first of all, to begin with, in the beginning, at the beginning
コンセント|electrical outlet, wall socket, power plug
発条|spring (device)
しゃがむ|to squat, to crouch
スクール|school
ナンバー|number
一通り|generally, in the main, briefly (look over, explain, etc.), roughly, more or less
振り仮名|furigana, kana printed above or next to kanji to indicate pronunciation
襖|fusuma, Japanese sliding screen
五十音|the Japanese syllabary
剃刀|razor
送り仮名|kana written after a kanji to complete the full (usually kun) reading of the word, declensional kana ending
草履|zori, traditional Japanese thonged sandals
符号|sign, mark, symbol, code
分数|fraction
平仮名|hiragana, cursive Japanese syllabary used primarily for native Japanese words (esp. function words, inflections, etc.)
牧畜|stock-farming, livestock farming, cattle breeding
片仮名|katakana, angular Japanese syllabary used primarily for loanwords
三日月|new moon, crescent moon
目次|table of contents, contents
小数|fraction (part of), decimal fraction
整数|integer
緯度|latitude (nav.)
どっと|bursting out (laughter), breaking out (applause), roaring, whooping
えっと|let me see, well, errr ..., uhh ...
せっせと|diligently, assiduously, industriously, beavering away
ウェイトレス|waitress
そう言えば|now that you mention it, come to think of it, that reminds me, on that subject, speaking of which
お大事に|take care of yourself, get well soon
初めまして|"nice to meet you, I'm glad to make your acquaintance, how do you do?"
お待たせしました|thank you for waiting, sorry to have kept you waiting
ずらり|in a row, in a line
楕円|ellipse
スカーフ|scarf (esp. a lightweight summer scarf worn by women)
ガム|chewing gum
オイル|oil, petroleum
ショップ|shop
見慣れる|to become used to seeing, to be familiar with
煎る|to roast, to parch, to toast, to boil down
足袋|tabi, Japanese socks (with split toe)
直流|direct current, DC
加速度|acceleration
同格|the same rank, equality
部首|radical (of a kanji character)
咥える|"to hold in one's mouth"
やっ付ける|to beat, to attack (an enemy), to do away with, to finish off
捩る|to twist, to screw, to wrench
切っ掛け|chance, start, cue, excuse, motive, impetus, occasion
県庁|prefectural office
目安|criterion, standard, yardstick, reference, aim
バイバイ|bye-bye, goodbye
王女|princess
加熱|heating, application of heat
下降|descent, fall, drop, decline, downturn, subsidence
芸能|public entertainment, performing arts
増減|increase and decrease, fluctuation
応接|reception (e.g. of visitors), dealing with
原産|place of origin, habitat
現に|actually, really
個体|individual, specimen
地盤|ground, crust (earth), bed (gravel, river, etc.)
長短|(relative) length
盛る|to serve (in a bowl, on a plate, etc.), to dish out, to dish up, to fill (a bowl) with
出来上がり|completion, finish
田植え|rice planting
投書|letter (e.g. of complaint), letter to the editor, letter from a reader
工員|factory worker
枚数|the number of flat things
農村|agricultural community, farm village
丼|porcelain bowl
差し引き|deduction, subtraction, balance
座敷|tatami room, tatami mat room, formal Japanese room
山林|mountain forest, forest on a mountain, montane forest
産地|producing area
自衛|self-defense, self-defence
問答|questions and answers, dialogue
友好|friendship
一斉|simultaneous, all at once
貯蔵|storage, preservation
間接|indirection, indirectness
初旬|first 10 days of the month
短編|short (e.g. story, film)
水産|aquatic products, fisheries
図形|figure, shape, graphic
歌謡|song, ballad
合理|rationality
集金|money collection
響く|to resound, to be heard far away
だらし無い|slovenly (appearance, work, etc.), sloppy, untidy, undisciplined, careless, loose, slack
緩い|loose
恨む|to bear a grudge against, to resent, to blame, to curse, to feel bitter towards
焚く|to burn, to kindle, to light (a fire), to make (a fire)
吊る|to hang, to suspend, to sling, to wear (e.g. a sword), to put up (e.g. a shelf)
凹む|to be dented, to be indented, to yield, to give, to sink, to collapse, to cave in
円周|circumference
透き通る|to be transparent, to be see-through, to be clear
縮める|to shorten, to reduce, to condense, to shrink
論ずる|to discuss, to talk about, to deal with (a topic)
落とし物|lost property, something dropped and left behind
粗筋|outline, summary, argument
煙い|smoky
涼む|to cool oneself, to cool off, to enjoy the cool air
張り切る|to be in high spirits, to be full of vigor (vigour), to be enthusiastic, to be eager, to stretch to breaking point
四つ角|four corners
ご馳走さま|thank you (for the meal), that was a delicious meal
放れる|to get free (from), to be freed, to be released
句読点|punctuation mark
領収|receipt (of money), receiving
薄める|to dilute, to water down
概論|introduction, outline, general remarks
蒔く|to sow, to plant, to seed
御中|... and Company, Messrs, for the attention of ...
寝巻き|nightclothes, nightwear, sleepwear, pyjamas, pajamas, nightgown, nightdress
溶く|to dissolve (paint), to scramble (eggs), to melt (metal, etc.), to mix (water with flour, etc.)
写生|sketching, drawing from nature, portrayal, description
算盤|abacus, soroban
心当たり|having in mind, happening to know (of), idea (of), inkling
単数|single, one
手拭い|(hand) towel
打ち消す|to deny, to contradict
応ずる|to answer, to respond, to meet
割合に|comparatively
判子|seal (used in lieu of a signature), stamp, chop
仕様が無い|"there's no (other) way"
思い切り|"to one's heart's content, as much as one wants, as hard as one can, with all one's strength, to the best of one's ability, to the utmost, with determination, hard, heavily"
御数|small dish (usu. one of several accompanying rice), side dish
