程|extent, degree, measure
身長|height (of body), stature
制限|restriction, restraint, limitation, limit
大半|majority, more than half, most (of)
布|cloth, fabric, material, textile
尊重|respect, esteem, regard
効果|effect, effectiveness, efficacy, result
肌|skin
範囲|extent, scope, sphere, range, span
皮|skin, hide, pelt, fur
別れ|parting, separation, farewell
論争|dispute, controversy, debate, argument, taking issue
維持|maintenance, preservation, improvement
苦痛|pain, agony, suffering, distress, torment
感心|admiration, being impressed
穏やか|calm, quiet, gentle, peaceful, mild
克服|conquest (of a difficulty, illness, crisis, etc.), overcoming, surmounting, bringing under control
障害|obstacle, impediment, hindrance, barrier, difficulty
年代|age, era, period, date
試し|trial, test
移動|movement, transfer, migration, removal, travel
科目|(school) subject, curriculum, course
明確|clear, precise, definite, distinct
脇|"armpit, under one's arm, side, flank"
承認|recognition, acknowledgement, acknowledgment, approval, consent, agreement
貢献|contribution (furthering a goal or cause), services (to a cause)
緊張|tension, strain, nervousness, stress
著者|author (usu. of a particular book), writer
底|bottom, sole
陽気|cheerful, jovial, merry, lively
順番|turn (in line), order of things, sequential order
度々|often, again and again, over and over again, repeatedly, frequently
金銭|money, cash
経由|going through, going via, going by way of
要するに|in short, in a word, to sum up, to put it simply, to make a long story short, after all
気温|(air) temperature
記者|reporter, journalist
共通|common, shared, mutual
風景|scenery, scene, landscape, view, sight
保存|preservation, conservation, storage, maintenance
期間|period, term, interval
巨大|huge, gigantic, enormous
引っ張る|to pull, to draw, to pull tight
独特|peculiarity, uniqueness, characteristic
軒|eaves
日光|sunlight, sunshine, sunbeams
同僚|coworker, co-worker, colleague, associate
発達|development, growth
表面|surface, face
関連|relation, connection, relevance
一般|general, universal
引退|retirement
開始|start, commencement, beginning, initiation
損|loss, damage, harm, unprofitable
代金|price, cost, charge, payment, bill, fee
見舞い|"visit (to someone affected by illness or misfortune), call, inquiry (about someone's health), expression of sympathy"
家賃|rent
付き合い|association, socializing, socialising, fellowship
月曜|Monday
技師|engineer, technician
小麦|wheat
思わず|unconsciously, involuntarily, instinctively, reflexively, spontaneously, unintentionally, in spite of oneself
後者|the latter, the second
通過|passing through (a tunnel, station, town, etc.), passing by (e.g. of a typhoon), transit
男子|boy
差|difference, variation
温暖|warm, mild, temperate
食糧|food (esp. staple food such as rice or wheat), provisions, rations, food supply
泳ぎ|swimming
住民|inhabitant, resident, citizen, population
請求|claim, demand, charge, application, request, billing (for a service)
真っ赤|bright red, deep red, flushed (of face)
九|nine, 9
前進|advance, moving forward, progress
化粧|make-up, makeup, cosmetics
支度|preparation, arrangements
上京|going (up) to the capital, going to Tokyo
女子|woman, girl
救助|relief, aid, rescue
学問|study, scholarship, learning, education, knowledge
徹夜|staying up all night
王子|prince
見解|opinion, point of view
非常|emergency
単に|simply, merely, only, solely
流す|to drain, to pour, to run, to let flow, to flush, to shed (blood, tears), to spill
抵抗|resistance, opposition, standing up to
破産|bankruptcy, insolvency
単純|simple, plain, uncomplicated, straightforward, simple-minded, naive
疲れ|tiredness, fatigue
意外|unexpected, surprising
機能|function, facility, faculty, feature
印象|impression
笑顔|smiling face, smile
棒|pole, rod, stick, baton
積極的|positive, assertive, active, proactive, aggressive
虫歯|tooth decay, cavity, decayed tooth, dental caries
適度|moderate (degree), proper (amount), temperate, suitable
単なる|mere, simple, sheer
操作|operation, management, handling
重視|regarding as important, attaching importance to, taking a serious view of, putting emphasis on
雰囲気|atmosphere, mood, ambience, ambiance, aura, feel
宿泊|accommodation, lodging
刺激|stimulus, stimulation, irritation (esp. of the body, e.g. skin, eyes)
場面|scene, setting, place (where something happens), scenario, case
実施|enforcement, implementation, putting into practice, carrying out, operation, working (e.g. working parameters), enactment
夜明け|dawn, daybreak
両替|change, money exchange
前者|the former, the first
金額|amount of money, sum of money
倒す|to throw down, to bring down, to blow down, to fell, to knock down, to set (something) down on its side, to turn (something) on its side, to recline (e.g. a seat)
苦しい|painful, difficult, tough, hard
勤め|service, duty, business, responsibility, task
大会|mass meeting, convention, rally, conference, assembly, gathering
一瞬|instant, moment, for an instant
妙|strange, weird, odd, curious
仲|relation, relationship
入場|entrance, entering, admission, admittance
死亡|death, dying, mortality
支出|expenditure, disbursement, expenses
主婦|housewife, mistress (of the house), homemaker
症状|symptoms, condition (of a patient)
一時|"one o'clock"
半ば|middle, halfway, midway
演技|acting, performance
粗末|crude, rough, plain, humble, shabby, poor-quality, low-quality
成人|adult, grownup
格好|shape, form, figure, posture, pose
設計|plan, design, layout
欠陥|defect, fault, flaw, deformity, deficiency, shortage, gap
交際|company, friendship, association, society, acquaintance
材料|materials, ingredients
農民|farmer, peasant
活気|energy, vigour, vigor, liveliness, spirit, life, animation
進学|advancing to the next stage of education, going on to (high school, college, etc.)
特徴|feature, trait, characteristic, peculiarity, distinction
委員|committee member
不正|injustice, unfairness, wrongdoing, iniquity, impropriety, irregularity, dishonesty, illegality, fraud
住宅|residence, housing, residential building
生き物|living thing, living creature, animal, life
地区|district, section, sector
依頼|request, commission, entrusting (with a matter)
完了|completion, conclusion
急激|sudden, abrupt, rapid, sharp, drastic, radical
支店|branch office, branch store
党|party (political)
生地|cloth, fabric, material, texture
推薦|recommendation, referral, endorsement
最低|least, lowest, minimum
審判|judgement, judgment, decision, verdict, sentence
礼儀|manners, courtesy, etiquette
幅|width, breadth
課|lesson
拡大|expansion, extension
装置|equipment, device, installation, apparatus
支給|provision, supply, payment, allowance, grant
厄介|trouble, burden, nuisance, bother, worry
整理|sorting, arrangement, organization, putting in order, adjustment, regulation
収める|to put (into), to put away (in), to put back (in), to keep (in), to store (in), to restore (to its place)
記念|commemoration, celebration, remembrance, memory, honoring the memory of
予期|expectation, anticipation, forecast
基本|basics, fundamentals, basis, foundation
刑事|(police) detective
発行|publication (of a newspaper, magazine, book, etc.), issue
設備|equipment, facilities, installation, accommodations, conveniences, arrangements
全国|the whole country
読み|reading
本人|the person in question, the person themselves, said person
級|(school) grade, year, class
長期|long-term
正式|formal, official, regular, proper, legal, due (formalities)
豪華|extravagant, lavish, opulent, luxurious, magnificent, splendid, fancy, gorgeous
微妙|subtle, delicate, fine
年月|months and years
続き|continuation, rest (of the story, work, etc.), next installment, sequel
決まり|rule, regulation
掲示|notice, bulletin, post, posting, placard
迎え|meeting, greeting, welcome
券|ticket, coupon, bond, certificate
語学|study of foreign languages
強力|powerful, strong
愉快|pleasant, delightful, enjoyable, joyful, cheerful, amusing, happy
裁判|trial, judgement, judgment
幕|curtain
向い|facing, opposite, across the street, other side
水準|level, standard
敬意|respect, honour, honor
図|drawing, picture, diagram, figure, illustration, chart, graph, map
出会い|meeting, rendezvous, encounter
予防|prevention, protection (against), precaution
飛行|flight, flying, aviation
集まり|gathering, meeting, assembly, collection, attendance
地|earth, ground, land, soil
組|class (of students)
陸|land, shore
孫|grandchild
係|charge, duty, person in charge, official, clerk
輪|ring, circle, loop
年中|whole year, all year round, throughout the year
騒ぎ|uproar, disturbance
盛り|height (e.g. of summer), peak (e.g. of cherry blossom season), (in) season, full bloom, full swing (of a party, etc.)
方々|people, (all) persons, everyone, ladies and gentlemen
問い|question, query
違反|violation, offense, offence, breach, transgression, infringement, contravention
心理|state of mind, mentality, psychology
負け|defeat, loss, losing (a game)
通信|correspondence, communication, transmission, news, signal, telecommunications
勢い|force, vigor, vigour, energy, spirit, life
順|order, turn, sorting
中学|junior high school, middle school, lower secondary school
事務|office work, clerical work, administration, business, affairs
野|plain, field
宿|lodging, inn, hotel
稲|rice plant (Oryza sativa)
金曜|Friday
通行|passage (of people or vehicles), passing (through), traffic
日常|everyday, daily, ordinary, usual, routine, regular
天然|nature, spontaneity
移す|to transfer (to a different place, group, etc.), to change, to swap, to substitute
始まり|origin, beginning, start
候補|candidate, contender, prospect, pick, choice, list
気味|sensation, feeling
予報|forecast, prediction
徹底|thoroughness, completeness, consistency
近代|present day, modern times, recent times
沖|open sea
空き|space, room, gap, emptiness
互い|each other, one another
自動|automatic
注|annotation, explanatory note, comment
名人|master, expert
連れ|companion, company
機関|engine
機嫌|humour, humor, temper, mood, spirits
境|border, boundary
恩|favour, favor, obligation, debt of gratitude
木曜|Thursday
題|title, subject, theme, topic
典型|type, pattern, model, epitome, exemplar, archetype, perfect example
縄|rope, cord
中古|used, second-hand, old
学|learning, scholarship, study, erudition, knowledge, education
可|acceptable, satisfactory, allowed, permitted
誠に|indeed, really, absolutely, truly, actually, very, quite
束|bundle, bunch, sheaf
嫁|bride
見当|estimate, guess, conjecture, aim
定期|fixed period, fixed term
加減|degree, extent, amount, balance, state, condition
作法|manners, etiquette, propriety
参考|reference, consultation
高速|high-speed, rapid, express
泉|spring, fountain
祝い|congratulation, congratulations, celebration, festival
図書|books
宅|house, home
段|step, stair, rung, (flight of) steps
火曜|Tuesday
同時|simultaneous, concurrent, same time, synchronous, together
不可|wrong, bad, improper, unjustifiable, inadvisable
現れ|embodiment, manifestation, materialization, materialisation, expression, indication
局|bureau, department
大戦|great war, great battle
今に|before long, even now
勘|perception, intuition, the sixth sense
消防|fire fighting
下り|down-train, train heading toward the ending point of its route
老い|old age, old person, the old, the aged
仕舞う|to finish, to stop, to end, to put an end to, to bring to a close
様|appearing ..., looking ...
貰う|to receive, to take, to accept
全て|everything, all, the whole
全く|really, truly, entirely, completely, wholly, perfectly
履く|to put on (lower-body clothing, e.g. pants, skirt, footwear), to wear
信じる|to believe, to believe in, to place trust in, to confide in, to have faith in
与える|to give (esp. to someone of lower status), to bestow, to grant, to confer, to present, to award
分|part, portion, share
頃|(approximate) time, around, about, toward
知らせ|news, word, tidings, notice, notification, information
求める|to want, to wish for
得る|to get, to earn, to acquire, to procure, to gain, to secure, to attain, to obtain, to win
者|person
嬉しい|happy, glad, pleased, delighted, overjoyed
可也|considerably, fairly, quite, rather, pretty
学ぶ|to learn, to study, to take lessons in
過ごす|to spend (time), to pass, to lead (a life), to live
位|"throne, crown, (nobleman's) seat"
認める|to recognize, to recognise, to observe, to notice
気付く|to notice, to realize, to realise, to become aware (of), to perceive, to sense, to suspect
頂く|to receive, to get, to accept, to take, to buy
遂に|finally, at last
先ず|first (of all), firstly, to begin with, before anything else
有らゆる|all, every
宜しい|good, OK, all right, fine, very well, will do, may, can
暮らす|to live, to get along
丸で|quite, entirely, completely, at all
数|several, a number of
気に入る|"to like, to be pleased with, to be delighted with, to take a liking to, to suit one's fancy"
如何しても|by all means, at any cost, no matter what, at any rate, surely
解く|to untie, to unfasten, to unwrap, to undo, to unbind, to unpack
喋る|to talk, to chat, to chatter
優れる|to surpass, to outstrip, to excel
寧ろ|rather, better, instead, if anything
何時でも|always, all the time, at all times
遅刻|lateness, tardiness, arriving late
従う|to obey (an order, law, etc.), to abide by (a rule, custom, etc.), to follow, to observe, to conform to, to yield to
例え|example
怪我|injury, wound
回り|rotation
益々|increasingly, more and more, decreasingly (when declining), less and less
済みません|"excuse me, pardon me, I'm sorry, I beg your pardon"
現す|to represent, to signify, to stand for
描く|to draw, to paint, to sketch
少しも|(not) at all, (not) a bit, (not) in the least, (not) in the slightest
丸|circle
述べる|to state, to express, to say, to tell, to mention
当たる|to be hit, to strike
切れる|to break, to snap, to be cut, to split, to crack
会|meeting, assembly, party, gathering, conference, athletic meet
或|a certain ..., some ...
向ける|to turn (towards), to face, to point, to aim, to direct to
効く|to be effective, to take effect, to be good (for)
中中|very, considerably, easily, readily, fairly, quite, highly, rather
約|approximately, about
僅か|a little, a few, small, slight, trifling, meagre, meager, narrow (margin)
避ける|to avoid (physical contact with)
賢い|wise, clever, smart
正に|exactly, just, precisely, really, truly, surely, certainly, without doubt
経つ|to pass (of time), to elapse
勿論|of course, certainly, naturally
夢中|absorbed in, immersed in, crazy about, obsessed with, devoted to
諦める|to give up, to abandon (hope, plans), to resign oneself (to)
掴む|"to seize, to catch, to grasp, to grip, to grab, to clutch, to hold, to catch hold of, to lay one's hands on"
床|floor
随分|very, extremely, surprisingly, fairly, quite, considerably, awfully, terribly
伸ばす|to grow long (e.g. hair, nails)
異なる|to differ, to be different, to disagree, to vary, to diverge
飼う|to keep (a pet or other animal), to have, to own, to raise, to rear, to feed
去る|to leave, to go away
沈む|to sink, to go under, to submerge
輝く|to shine, to sparkle, to twinkle, to glitter, to glisten
願う|to desire, to wish, to hope
利口|clever, intelligent, bright, smart, wise, sensible, shrewd
取れる|to come off (of a button, handle, lid, etc.)
似合う|to suit, to match, to become, to be like
叩く|"to strike, to hit, to beat, to knock, to pound, to bang, to slap, to spank, to tap, to pat, to clap (one's hands), to play (the drums)"
偶々|by chance, by accident, accidentally, happen to (be, do), unexpectedly, casually
匂い|odour, odor, scent, smell, stench
お喋り|chattering, talk, idle talk, chat, chitchat, gossip
招く|to invite, to ask
任せる|to leave (a matter, decision, etc. to someone), to entrust (to someone), to entrust (someone) with
割る|to divide
凝乎と|motionlessly (e.g. stand, wait), (be) still
触れる|to touch, to feel
所謂|what is called, as it is called, the so-called, so to speak
届く|to reach, to touch, to get to, to carry (of sound)
解ける|to be solved, to be resolved
文|sentence
不平|discontent, dissatisfaction, complaint, grievance
立ち上がる|to stand up, to get up
大した|considerable, great, important, significant, a big deal
腐る|to rot, to go bad, to decay, to spoil, to fester, to decompose, to turn sour (e.g. milk)
宜しく|well, properly, suitably
伺う|to call on someone, to call at a place, to pay a visit, to wait on someone
軈て|before long, soon, shortly
通じる|to be open (to traffic), to lead to, to communicate (with)
稼ぐ|to earn (income), to make (money)
罹る|to contract (a disease), to suffer from
含む|to contain, to comprise, to have, to hold, to include, to embrace
辞める|"to resign, to retire, to quit, to leave (one's job, etc.)"
微笑む|to smile
苦しむ|to suffer, to groan, to be worried
種|seed (e.g. of a plant), pip, kernel, stone (e.g. of a peach)
近頃|lately, recently, nowadays
詰まり|that is to say, that is, in other words, I mean, that (this, it) means
叱る|to scold, to chide, to rebuke, to reprimand
勧める|to recommend (someone to do), to advise, to encourage, to urge
兎に角|anyway, anyhow, at any rate, in any case, at least, just
基づく|to be based (on), to be founded (on), to be grounded (on), to be in accordance (with)
済ませる|to finish, to make an end of, to get through with, to let end
責める|to condemn, to blame, to criticize, to criticise, to reproach, to accuse
苛々|to get irritated, to get annoyed, to be on the edge, to fret, to lose patience
案|idea, plan, proposal, suggestion, (government) bill
面|face
就く|to take (seat, position, course, office, etc.), to assume, to be hired, to be employed
捕まる|to be caught, to be arrested
欠ける|to chip, to be chipped, to break (off), to be damaged
向く|to turn toward, to look (up, down, etc.)
従兄弟|cousin (male)
精々|at the most, at best
横切る|to cross (e.g. road), to traverse
転ぶ|to fall down, to fall over
強調|emphasis, stress, highlighting, underlining, underscoring
下ろす|to take down, to bring down, to lower (a hand, flag, shutter, etc.), to drop (an anchor, curtain, etc.), to let down (hair), to launch (a boat)
生まれ|birth, birthplace
生じる|to produce, to yield, to cause
轢く|to run over (with a vehicle), to knock down
其の儘|without change, as is
法|law, act, principle
隠れる|to hide, to conceal oneself, to take cover
劣る|to be inferior to, to be less good at, to fall behind
吠える|to bark, to howl, to bay, to roar, to yelp, to yap
訴える|"to raise, to bring to (someone's attention)"
繋ぐ|to connect, to link together
怠ける|to be lazy, to be idle, to slack
震える|to shiver, to shake, to quake, to tremble, to quaver, to quiver
伸びる|to stretch, to extend, to lengthen, to grow (of hair, height, grass, etc.)
広がる|to spread (out), to extend, to stretch, to reach to, to get around, to fill (e.g. a space)
凍る|to freeze, to become frozen, to freeze over
悪戯|mischief, prank, trick, practical joke
罰する|to punish, to penalize, to penalise
堪らない|intolerable, unbearable, unendurable
濃い|deep (colour), dark
酔う|to get drunk, to become intoxicated
態と|on purpose, deliberately, intentionally
飽きる|to get tired of, to tire of, to lose interest in, to grow weary of, to get fed up with, to get sick of, to become bored with
生憎|unfortunately, sorry, but ...
支える|to support, to prop, to sustain, to underlay, to hold up, to defend
除く|to remove, to eliminate, to eradicate
論じる|to discuss, to talk about, to deal with (a topic)
抜く|to pull out, to draw out, to extract, to unplug, to weed
満ちる|to fill, to become full (of), to be filled (with), to brim (with)
直に|directly, in person, firsthand
適する|to fit, to suit
真面目|serious, earnest, sober, grave
何時までも|forever, eternally, for good, as long as one likes, indefinitely, endlessly, for a long time
若しも|if, in case, supposing
陰|shade, shadow
臭い|stinking, smelly
振る|to wave, to shake, to swing
途端|just (now, at the moment, etc.), just as, in the act of, as soon as, at the moment that
通り過ぎる|to go past, to pass, to pass by
幼い|very young, little
止す|to stop (doing), to cease, to desist, to drop, to lay off, to give up, to quit
喉|throat
真似|imitating, copying, mimicry
行儀|manners, behavior, behaviour
性|nature (of a person)
不図|suddenly, casually, accidentally, incidentally, unexpectedly, unintentionally
凡そ|about, roughly, approximately
抜ける|to come out, to fall out, to be omitted, to be missing, to escape, to come loose
用心|care, precaution, guarding, caution
物音|noise, sound
防ぐ|to defend against, to protect against
熱中|being enthusiastic about, being wild about, being absorbed in, being engrossed in, being devoted to
等しい|equal, identical, the same
諺|proverb, saying, aphorism, maxim
譲る|to hand over, to transfer, to turn over, to assign, to convey, to bequeath
放す|to release, to let go, to free, to set free, to let loose, to turn loose
省く|to omit, to leave out, to exclude, to eliminate
上達|improvement (e.g. in skill, ability), advance, progress
眺め|scene, view, prospect, outlook
取り上げる|to pick up
逆らう|to go against, to oppose, to disobey, to defy
気の毒|pitiful, unfortunate, poor, miserable, wretched
増す|to increase, to grow
占める|to occupy, to hold
申し込む|to apply for, to make an application, to propose (marriage), to offer (mediation), to make an overture (of peace), to challenge, to lodge (objections), to request (an interview), to subscribe for, to book, to reserve
詰める|to stuff into, to jam, to cram, to pack, to fill, to plug, to stop up
可愛らしい|lovely, sweet, pretty, cute, adorable
即ち|that is (to say), namely, i.e.
一人一人|each (person), individually, one by one, one at a time, in turn
一度に|all at once
我が儘|selfish, egoist
その内|before very long, soon, someday, one of these days, sooner or later
狂う|"to go mad, to lose one's mind, to go crazy, to go insane"
頂戴|receiving, getting, accepting, being given
札|banknote, bill, note, paper money
売れる|to sell (well)
生|raw, uncooked, fresh
真剣|serious, earnest
迷子|lost child, lost person, stray child, missing child
象|elephant (Elephantidae spp.)
頻りに|frequently, repeatedly, often, incessantly, constantly
飛ばす|to let fly, to make fly, to send flying, to blow off (e.g. in the wind), to launch, to fire, to hurl, to shoot
要点|gist, main point
食う|to eat
指す|to point
至る|to arrive at (e.g. a decision), to reach (a stage), to attain
贅沢|luxury, extravagance
発車|departure (of a train, car, etc.), starting, leaving
最中|(in) the middle of, (in) the midst of, (in) the course of, (at) the height of
居眠り|nodding off (while sitting), dozing
真逆|"by no means, never!, well, I never!, you don't say!, certainly (not)"
停留所|stop (bus, tram, etc.), station, stopping place
反抗|opposition, resistance, insubordination, defiance, hostility, rebellion
余分|extra, excess, surplus
親戚|relative, relation, kin
進める|to advance, to move forward, to put (a clock, watch) forward
上等|superior, first-class, excellent, top quality
今にも|at any moment (now), at any minute, on the verge of (doing), just about to
離す|to separate, to part, to divide, to keep apart
越す|to cross over (e.g. mountain), to go across
平ら|flat, level, even, smooth
包み|bundle, package, parcel
手品|magic (illusion), conjuring, magic trick, conjuring trick, sleight of hand
覚める|to wake, to wake up
率|rate, ratio, proportion, percentage
積もる|to pile up, to accumulate
綿|cotton
及ぼす|to exert (influence), to exercise, to cause (e.g. damage), to do (e.g. harm), to bring about (e.g. benefits), to extend, to have an effect (on)
咳|cough, coughing, tussis
旧|old, former, ex-
稍|a little, partially, somewhat, slightly, semi-, -ish, on the ... side, a short time, a while
切れ|piece, slice, strip, scrap
器用|skillful, skilful, adroit, dexterous, dextrous, deft, nimble, handy
唸る|to groan, to moan
説|theory, doctrine
粗い|coarse, rough
大屋|landlord, landlady
節|joint, knuckle
覚ます|to awaken, to arouse from sleep
関する|to concern, to be related
銅貨|copper coin
違いない|sure, no mistaking it, for certain, without doubt
原|field, plain, prairie, tundra, moor, wilderness
仕舞った|darn it!, darn!, oops!, oh dear!, oh no!
頂きます|thank you (for the meal just served), I receive (this meal)
矢張り|as expected, sure enough, just as one thought
これ等|these
旨い|skillful, skilful, skilled, good, expert, clever (expression, trick, etc.), apt, appropriate
急に|swiftly, rapidly, quickly, immediately, hastily, hurriedly
番|number (in a series)
人ごみ|crowd of people
持ち上げる|to elevate, to raise, to lift up
お昼|lunch
小|smallness, small item
男の人|man
だって|after all, because
ビール|beer
メンバー|member, participant, attendee, lineup (sport)
ドラマ|(non-documentary) television series, TV drama, teledrama, play
オーバー|overcoat
語|word
市場|(town) market, (street) market, marketplace
煙|smoke, fumes
値|price, cost
善|good, goodness, right, virtue
灯|light, lamp
管|pipe, tube
チーム|team
ドレス|dress
スキー|skiing
ボール|ball
ピクニック|picnic
ゲーム|game
ワイン|wine
スープ|(Western) soup
ボート|boat, rowing boat
クリスマス|Christmas
グループ|group (usu. of people)
エンジン|engine
まあ|"just (e.g. ""just wait here""), come now, now, now"
エネルギー|energy
ダンス|dance, dancing
サービス|service, help, assistance, care, concern
ソファ|sofa, couch
度|time (three times, each time, etc.), times
ベンチ|bench
バイオリン|violin
デート|date (with someone), (social) outing (for two), date night
チャンス|chance, opportunity
トランプ|(Western) playing cards
ユーモア|humor, humour, joke
チーズ|cheese
インク|ink
パスポート|passport
スケート|skating (esp. ice), skate, skates
ドライブ|drive, trip by car, driving
ノック|knock, knocking
パーセント|percent, per cent, percentage
トンネル|tunnel
キャンプ|camp, camping
ヨット|yacht (esp. a sailing boat with one mast), sailing boat, sailboat
ハイキング|hiking
パイロット|pilot
スタイル|"(one's) figure, build, physique, shape"
アルバム|album
ラケット|racket, paddle (in table-tennis)
ウィスキー|whisky, whiskey
タイプライター|typewriter
タオル|towel
アイスクリーム|ice cream, icecream
ロケット|rocket
テント|tent
ジェット機|jet aeroplane, jet airplane
ブレーキ|brake
パイプ|pipe, tube
コーチ|coach
ベルト|belt (waist, seat, etc.), strap
霜|frost
ケース|case (container)
ジュース|juice
アイロン|iron (for pressing clothes)
アウト|out (of a ball; in tennis, etc.), outside the line
スタンド|stands, bleachers
プラス|plus, addition
日本|Japan
オフィス|office
キャプテン|captain
ジーンズ|jeans
マスター|to master (a skill)
パス|passing (a test, examination, etc.)
カー|car
日中|daytime, during the day
セット|set (of things), combo
センター|centre, center
マーケット|market
何でも|any, anything, whatever, whatever one likes, everything, all
名|name, given name
何とか|something, something or other, so-and-so
何時か|sometime, someday, one day, some time or other, the other day, in due course, in time
楽|comfort, ease, relief, (at) peace, relaxation
行き|the way there, outbound leg, outbound trip, departing leg
流行|fashion, trend, vogue, craze, fad, popularity
故郷|"hometown, birthplace, native place, one's old home"
台|stand, rest, base, pedestal, platform, table, holder, support, rack
悪口|slander, bad-mouthing, abuse, insult, speaking ill (of)
お互い|each other, one another
世間|world, society, people, the public
預ける|"to leave (in someone's keeping), to put (in someone's care), to place (in someone's custody), to entrust (someone) with, to deposit"
主に|mainly, primarily, mostly, largely, chiefly
一種|a kind, a sort, a variety, a species
逆|reverse, opposite
税|tax
末|end, tip, top
同一|identical, same, one and the same, equal
章|chapter, section
土|earth, soil, dirt, clay, mud
縁|rim, brim, edge, brink
無|nothing, naught, nought, nil, zero
人工|artificial, man-made, human work, human skill, artificiality
柄|pattern, design
密|dense, thick, crowded
堀|moat, fosse
曜日|day of the week
松|pine tree (Pinus spp.)
はあ|yes, indeed, well
金|gold (metal)
かも知れない|may, might, perhaps, may be, possibly
ずっと|continuously, the whole time, all the way, throughout
どんな|what kind of, what sort of, what
実|fruit, nut
どんなに|how, how much, to what extent
何処か|somewhere
其処で|so, accordingly, now, then, thereupon, therefore
有り難う|thank you, thanks
滅多に|rarely, seldom
ミルク|milk
こんなに|so, like this, in this way
夫れ夫れ|each, respectively
被る|"to put on (one's head), to wear, to have on, to pull over (one's head), to crown (oneself)"
其れ共|or, or else
がっかり|to be disappointed, to be dejected, to be downhearted, to be discouraged, to be disheartened, to lose heart, to feel let down
彼方此方|here and there, various places, all around, all over, everywhere, throughout
きちんと|properly, accurately, exactly, precisely, regularly
スピーチ|speech
所為|consequence, outcome, result, blame, fault
ですから|so, therefore, accordingly, consequently, on those grounds, that is why, for that reason
バッグ|bag
其れでも|but (still), and yet, nevertheless, even so, notwithstanding
品|article, item, thing, goods, stock
ペンキ|paint
溺れる|to struggle in the water, to sink below the surface and become unable to breathe, to (nearly) drown
ちゃんと|diligently, seriously, earnestly, reliably, steadily, legitimately
たった|only, merely, but, no more than
きつい|tough, hard, severe, demanding, harsh
ぐっすり|soundly (sleeping), fast (asleep)
ぴったり|tightly, closely
何故なら|because, the reason is, if you want to know why
塵|rubbish, trash, garbage, refuse, litter
さっぱり|feeling refreshed, feeling relieved
然も|moreover, furthermore
所で|by the way, incidentally
偖|well, now, then
対|pair, couple, set
メモ|note, memo, memorandum
ハンサム|handsome
ざっと|roughly, approximately, round about, more or less
スイッチ|switch
たっぷり|plentifully, amply, abundantly, copiously, generously, fully, a lot
ダイヤ|diamond
ぼんやり|dimly, faintly, indistinctly, vaguely
今日は|hello, good day, good afternoon
プラン|plan, scheme
のんびり|at leisure, in a relaxed manner, in a carefree manner, quietly, peacefully
プロ|professional, pro
デモ|demonstration, protest
ビデオ|video (esp. a televised image)
トップ|top
鋏|scissors, shears, clippers
クリーム|cream
スター|star (cinema, sports, etc.), celebrity, idol
ボーイ|boy
クラシック|classical music
屯|ton (esp. a metric ton, i.e. 1000 kg), tonne
マイク|mike, mic, microphone
所が|even so, however, still, whereupon, even though, nevertheless, on the contrary, as a matter of fact, despite
空く|to become less crowded, to thin out, to get empty
仏|Buddha, Shakyamuni
田|rice field
そっくり|all, altogether, entirely, completely
いらっしゃい|come, go, stay
にっこり|sweetly (smiling), broadly (grinning)
だけど|however
だが|but, however, (and) yet, nevertheless, still, for all that
ノー|no
身|"one's body, one's person"
閉じる|to close (e.g. book, eyes, meeting, etc.), to shut
叫ぶ|to shout, to cry, to scream, to shriek, to yell, to exclaim
撃つ|to shoot (a gun, person, etc.), to fire
奥|"inner part, interior, back (of a drawer, one's throat, etc.), depths (e.g. of a forest), recesses (e.g. of a cave), heart, end (of a road, garden, etc.)"
申し訳|apology, excuse
訓|native Japanese reading of a Chinese character
正|(logical) true, regular
暮れ|sunset, sundown, nightfall, dusk
具体|concreteness, embodiment
御|honorific/polite/humble prefix
行けない|bad, wrong, naughty
抱く|"to hold in one's arms (e.g. a baby), to embrace, to hug"
尤も|but then, although, though
吐く|to vomit, to throw up, to spit up
とんでも無い|unthinkable, unexpected, absurd, outrageous, preposterous, terrible
或いは|or, either ... or
対する|to face (each other), to be facing
吃驚|to be surprised, to be amazed, to be frightened, to be astonished, to get startled, to jump
あんなに|to that extent, to that degree, so much, so
極|pole
御免なさい|"I'm sorry, my apologies, excuse me, pardon me"
ばったり|with a clash, with a thud, with a bang, with a flop, plump
けち|stinginess, miserliness, penny-pinching, miser, pinchpenny, skinflint, cheapskate, tightwad, niggard
ライター|lighter
グランド|grand, large
ゴール|goal (in soccer, hockey, etc.), basket (in basketball)
バン|bun (hairstyle)
徐々|slow, gradual, steady
球|sphere, globe, ball, bulb
不|un-, non-, negative prefix
率土|ends of the earth, outer reaches, borderland
無し|without
トラック|truck, lorry
カード|card (information, filing, etc.)
サイン|autograph, signature
ミス|mistake, error, blunder
グラス|glass (drinking vessel)
お目出度う|congratulations!, well done!, best wishes!, all the best!
ママ|mom, mommy, mum, mummy, mother, mama, mamma
ホーム|platform
ピン|pin (e.g. hairpin, safety pin)
コード|code, program
直|straight
ト|7th (in a sequence denoted by the iroha system)
現場|actual spot, scene (of a crime, accident, etc.)
波|wave
女王|queen
制度|system, institution, organization, organisation
国家|state, country, nation
化学|chemistry
知恵|wisdom, wit, sagacity, sense, intelligence
感覚|sense, sensation, feeling, intuition
絵画|painting, picture
神経|nerve
営業|business, trade, operations
人種|race (of people)
体育|physical education, PE, gym (class)
年間|(period of) a year
